School Name,Country,Status
University of Sheffield (The),ENGLAND,Eligible
University of Southampton,ENGLAND,Eligible
University of Sunderland,ENGLAND,Eligible
University of Surrey,ENGLAND,Eligible
University of Sussex,ENGLAND,Eligible
University of the Arts London,ENGLAND,Eligible
"University of the West of England, Bristol",ENGLAND,Eligible
University of Warwick,ENGLAND,Eligible
University of West London (The),ENGLAND,Eligible
University of Westminster,ENGLAND,Eligible
University of Winchester (The),ENGLAND,Eligible
University of Wolverhampton,ENGLAND,Eligible
University of Worcester,ENGLAND,Eligible
University of York,ENGLAND,Eligible
York St John University,ENGLAND,Eligible
American Graduate School in Paris,FRANCE,Eligible
American University of Paris,FRANCE,Eligible
Ecole des Hautes Etudes Commerciales,FRANCE,Eligible
Grenoble Ecole de Management,FRANCE,Eligible
INSEAD,FRANCE,Eligible
Institut D'Etudes Politiques De Paris,FRANCE,Eligible
International Space University,FRANCE,Eligible
ESMT European School of Management and Technology,GERMANY,Eligible
Frankfurt School of Finance & Management gGmbH,GERMANY,Eligible
Hertie School,GERMANY,Eligible
HHL Leipzig Graduate School of Management,GERMANY,Eligible
Abertay University,SCOTLAND,Eligible
Edinburgh Napier University,SCOTLAND,Eligible
Glasgow Caledonian University,SCOTLAND,Eligible
Glasgow School of Art,SCOTLAND,Eligible
Heriot-Watt University,SCOTLAND,Eligible
"Queen Margaret University, Edinburgh",SCOTLAND,Eligible
Robert Gordon University,SCOTLAND,Eligible
University of Aberdeen,SCOTLAND,Eligible
University of Dundee,SCOTLAND,Eligible
University of Edinburgh,SCOTLAND,Eligible
University of Glasgow,SCOTLAND,Eligible
University of Saint Andrews,SCOTLAND,Eligible
University of Stirling,SCOTLAND,Eligible
"University of Strathclyde, Glasgow",SCOTLAND,Eligible
University of the Highlands and Islands,SCOTLAND,Eligible
University of the West of Scotland,SCOTLAND,Eligible
Franklin University Switzerland,SWITZERLAND,Eligible
Graduate Institute of International and Development,SWITZERLAND,Eligible
Universiteit Maastricht,THE NETHERLANDS,Eligible
Universiteit Utrecht,THE NETHERLANDS,Eligible
Universiteit Van Amsterdam,THE NETHERLANDS,Eligible
Vrije Universiteit Amsterdam,THE NETHERLANDS,Eligible
